BM	BN	warps	stages	maxnreg	whale_fb_ms	whale_fb_std	fa3_fb_ms
64	64	4	2	0	0.366	0.020	0.357
64	64	4	2	128	0.459	0.003	0.353
64	64	4	2	160	0.428	0.002	0.364
64	64	4	2	192	0.426	0.005	0.415
64	64	4	2	224	0.370	0.004	0.373
64	64	4	3	0	0.358	0.004	0.347
64	64	4	3	128	0.571	0.001	0.363
64	64	4	3	160	0.515	0.001	0.356
64	64	4	3	192	0.364	0.004	0.367
64	64	4	3	224	0.368	0.012	0.365
64	64	4	4	0	0.421	0.008	0.395
64	64	4	4	128	0.560	0.002	0.373
64	64	4	4	160	0.573	0.001	0.394
64	64	4	4	192	0.373	0.002	0.363
64	64	4	4	224	0.361	0.001	0.358
64	64	8	3	0	0.488	0.001	0.366
64	64	8	3	128	0.686	0.002	0.353
64	64	8	3	160	0.553	0.001	0.349
64	64	8	3	192	0.514	0.001	0.352
64	64	8	3	224	0.492	0.001	0.356
64	128	4	3	0	0.557	0.001	0.374
64	128	4	3	128	0.713	0.002	0.374
64	128	4	3	160	0.628	0.001	0.362
64	128	4	3	192	0.525	0.001	0.362
64	128	4	3	224	0.453	0.001	0.357
64	128	4	4	0	1.177	0.002	0.363
64	128	4	4	128	0.946	0.001	0.358
64	128	4	4	160	0.829	0.002	0.364
64	128	4	4	192	0.679	0.001	0.382
64	128	4	4	224	0.646	0.001	0.359
64	128	8	3	0	0.517	0.000	0.367
64	128	8	3	128	0.841	0.001	0.366
64	128	8	3	160	0.699	0.001	0.441
64	128	8	3	192	0.914	0.367	0.371
64	128	8	3	224	0.626	0.002	0.415
128	64	4	3	0	0.562	0.001	0.348
128	64	4	3	128	0.636	0.001	0.373
128	64	4	3	160	0.606	0.001	0.371
128	64	4	3	192	0.923	0.002	0.371
128	64	4	3	224	0.591	0.001	0.357
128	64	8	3	0	0.368	0.005	0.376
128	64	8	3	128	0.634	0.001	0.354
128	64	8	3	160	0.450	0.001	0.365
128	64	8	3	192	0.392	0.001	0.359
128	64	8	3	224	0.382	0.001	0.369
128	128	4	3	0	0.567	0.001	0.364
128	128	4	3	128	1.059	0.002	0.381
128	128	4	3	160	0.762	0.001	0.360
128	128	4	3	192	0.667	0.001	0.368
128	128	4	3	224	0.603	0.001	0.416
128	128	8	3	0	0.389	0.002	0.358
128	128	8	3	128	0.544	0.001	0.414
128	128	8	3	160	0.472	0.001	0.366
128	128	8	3	192	0.553	0.001	0.401
128	128	8	3	224	0.449	0.001	0.364
